22.09 14:50:08 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 14:50:13 | хабар: 5/6 манзилга етди
22.09 14:50:15 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 14:50:15 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 14:50:19 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 14:50:22 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 14:50:28 | хабар: 5/6 манзилга етди
22.09 16:19:53 | бугун 16:30 да дарс йўқ
22.09 18:00:22 | kech хабари: 2026-09-23 (8 дарс)
22.09 18:00:23 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 18:00:23 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 18:00:27 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 18:00:30 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
22.09 18:00:36 | хабар: 5/6 манзилга етди
22.09 18:55:10 | цикл тугади
22.09 18:55:26 | бот таърифи ва буйруқлар рўйхати янгиланди
22.09 18:55:26 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
23.09 00:25:29 | цикл тугади
23.09 00:25:43 | бот таърифи ва буйруқлар рўйхати янгиланди
23.09 00:25:43 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
23.09 05:55:48 | цикл тугади
23.09 11:26:33 | бот таърифи ва буйруқлар рўйхати янгиланди
23.09 11:26:33 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
23.09 11:49:57 | эслатма: 12:00 (10 дақиқа қолди, 1 дарс)
23.09 11:49:57 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
23.09 11:49:58 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
23.09 11:50:01 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
23.09 11:50:04 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
23.09 11:50:10 | хабар: 5/6 манзилга етди
23.09 13:19:30 | бугун 13:30 да дарс йўқ
23.09 13:50:22 | 9:00: дарс бошланиб бўлган
23.09 15:03:50 | 10:30: дарс бошланиб бўлган
23.09 16:56:44 | бот таърифи ва буйруқлар рўйхати янгиланди
23.09 16:56:45 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
23.09 18:00:05 | kech хабари: 2026-09-24 (9 дарс)
23.09 18:00:05 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
